state,district,ga_id,ga_name,entity,entity_group,note
Arunachal Pradesh,Upper Siang,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Arunachal Pradesh,Upper Subansiri,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Arunachal Pradesh,West Kameng,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Arunachal Pradesh,West Siang,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Assam,Baksa,11.05,"Baksa, Barpeta, Bongaigaon, Chirang, Nalbari and Bajali districts",Adani Total Gas Limited,Adani Total Gas Limited,
Assam,Barpeta,11.05,"Baksa, Barpeta, Bongaigaon, Chirang, Nalbari and Bajali districts",Adani Total Gas Limited,Adani Total Gas Limited,
Assam,Biswanath,11.03,"Lakhimpur, Dhemaji , Darrang, Udalgiri, Sonitpur and Biswanath Chariali districts",North East Gas Distribution Private Limited,North East Gas Distribution Private Limited,
Assam,Bongaigaon,11.05,"Baksa, Barpeta, Bongaigaon, Chirang, Nalbari and Bajali districts",Adani Total Gas Limited,Adani Total Gas Limited,
Assam,Cachar,9.02,"Cachar, Hailakandi & Karimganj Districts",Purba Bharti Gas Private Limited,Purba Bharti Gas Private Limited,
Assam,Charaideo,99.15,Upper Assam,Assam Gas Company Limited,Assam Gas Company Limited,
Assam,Chirang,11.05,"Baksa, Barpeta, Bongaigaon, Chirang, Nalbari and Bajali districts",Adani Total Gas Limited,Adani Total Gas Limited,
Assam,Darrang,11.03,"Lakhimpur, Dhemaji , Darrang, Udalgiri, Sonitpur and Biswanath Chariali districts",North East Gas Distribution Private Limited,North East Gas Distribution Private Limited,
Assam,Dhemaji,11.03,"Lakhimpur, Dhemaji , Darrang, Udalgiri, Sonitpur and Biswanath Chariali districts",North East Gas Distribution Private Limited,North East Gas Distribution Private Limited,
Assam,Dhubri,11.04,"Kokrajhar, Dhubri, South Salmara-Mankachar and Goalpara districts",Adani Total Gas Limited,Adani Total Gas Limited,
Assam,Dibrugarh,99.15,Upper Assam,Assam Gas Company Limited,Assam Gas Company Limited,
Assam,Dima Hasao,11.02,"Nagaon, Morigaon, Hojai, Karbi Anglong, West Karbi Anglong and Dima Hasao districts",Adani Total Gas Limited,Adani Total Gas Limited,
Assam,Goalpara,11.04,"Kokrajhar, Dhubri, South Salmara-Mankachar and Goalpara districts",Adani Total Gas Limited,Adani Total Gas Limited,
Assam,Golaghat,99.15,Upper Assam,Assam Gas Company Limited,Assam Gas Company Limited,
Assam,Hailakandi,9.02,"Cachar, Hailakandi & Karimganj Districts",Purba Bharti Gas Private Limited,Purba Bharti Gas Private Limited,
Assam,Hojai,11.02,"Nagaon, Morigaon, Hojai, Karbi Anglong, West Karbi Anglong and Dima Hasao districts",Adani Total Gas Limited,Adani Total Gas Limited,
Assam,Jorhat,99.15,Upper Assam,Assam Gas Company Limited,Assam Gas Company Limited,
Assam,Kamrup,9.03,Kamrup & Kamrup Metropolitan Districts,Purba Bharti Gas Private Limited,Purba Bharti Gas Private Limited,
Assam,Kamrup Metropolitan,9.03,Kamrup & Kamrup Metropolitan Districts,Purba Bharti Gas Private Limited,Purba Bharti Gas Private Limited,
Assam,Karbi Anglong,11.02,"Nagaon, Morigaon, Hojai, Karbi Anglong, West Karbi Anglong and Dima Hasao districts",Adani Total Gas Limited,Adani Total Gas Limited,
Assam,Karimganj,9.02,"Cachar, Hailakandi & Karimganj Districts",Purba Bharti Gas Private Limited,Purba Bharti Gas Private Limited,
Assam,Kokrajhar,11.04,"Kokrajhar, Dhubri, South Salmara-Mankachar and Goalpara districts",Adani Total Gas Limited,Adani Total Gas Limited,
Assam,Lakhimpur,11.03,"Lakhimpur, Dhemaji , Darrang, Udalgiri, Sonitpur and Biswanath Chariali districts",North East Gas Distribution Private Limited,North East Gas Distribution Private Limited,
Assam,Morigaon,11.02,"Nagaon, Morigaon, Hojai, Karbi Anglong, West Karbi Anglong and Dima Hasao districts",Adani Total Gas Limited,Adani Total Gas Limited,
Assam,Nagaon,11.02,"Nagaon, Morigaon, Hojai, Karbi Anglong, West Karbi Anglong and Dima Hasao districts",Adani Total Gas Limited,Adani Total Gas Limited,
Assam,Nalbari,11.05,"Baksa, Barpeta, Bongaigaon, Chirang, Nalbari and Bajali districts",Adani Total Gas Limited,Adani Total Gas Limited,
Assam,Sivasagar,99.15,Upper Assam,Assam Gas Company Limited,Assam Gas Company Limited,
Assam,Sonitpur,11.03,"Lakhimpur, Dhemaji , Darrang, Udalgiri, Sonitpur and Biswanath Chariali districts",North East Gas Distribution Private Limited,North East Gas Distribution Private Limited,
Assam,South Salmara Mankachar,11.04,"Kokrajhar, Dhubri, South Salmara-Mankachar and Goalpara districts",Adani Total Gas Limited,Adani Total Gas Limited,
Assam,Tinsukia,99.15,Upper Assam,Assam Gas Company Limited,Assam Gas Company Limited,
Assam,Udalguri,11.03,"Lakhimpur, Dhemaji , Darrang, Udalgiri, Sonitpur and Biswanath Chariali districts",North East Gas Distribution Private Limited,North East Gas Distribution Private Limited,
Assam,West Karbi Anglong,11.02,"Nagaon, Morigaon, Hojai, Karbi Anglong, West Karbi Anglong and Dima Hasao districts",Adani Total Gas Limited,Adani Total Gas Limited,
Bihar,Araria,10.04,"Araria, Purnia, Katihar and Kishanganj Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,Arwal,10.05,"Arwal, Jehanabad, Bhojpur and Buxar Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,Aurangabad,9.04,"Aurangabad, Kaimur & Rohtas Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,Banka,11A.02,"Banka (Bihar), Dumka, Godda, Jamtara, Pakur & Sahibganj districts",Hindustan Petroleum Corporation Limited,Hindustan Petroleum Corporation Limited,
Bihar,Begusarai,9.05,Begusarai District,Think Gas Begusarai Private Limited,Think Gas,
Bihar,Bhagalpur,10.07,"Lakhisarai, Munger and Bhagalpur Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,Bhojpur,10.05,"Arwal, Jehanabad, Bhojpur and Buxar Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,Buxar,10.05,"Arwal, Jehanabad, Bhojpur and Buxar Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,Darbhanga,11.06,"Darbhanga, Madhubani, Supaul, Sitamarhi and Sheohar districts",Bharat Petroleum Corporation Limited,Bharat Petroleum Corporation Limited,
Bihar,East Champaran,11.07,"Gopalganj, Siwan, West Champaran, East Champaran and Deoria districts",Bharat Petroleum Corporation Limited,Bharat Petroleum Corporation Limited,
Bihar,Gaya,9.06,Gaya & Nalanda Districts,Indian Oil-Adani Gas Private Limited,Indian Oil-Adani Gas Private Limited,
Bihar,Gopalganj,11.07,"Gopalganj, Siwan, West Champaran, East Champaran and Deoria districts",Bharat Petroleum Corporation Limited,Bharat Petroleum Corporation Limited,
Bihar,Jamui,10.10,"Sheikhpura, Jamui and Deoghar Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,Jehanabad,10.05,"Arwal, Jehanabad, Bhojpur and Buxar Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,Kaimur,9.04,"Aurangabad, Kaimur & Rohtas Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,Katihar,10.04,"Araria, Purnia, Katihar and Kishanganj Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,Khagaria,10.06,"Khagaria, Saharsa and Madhepura Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,Kishanganj,10.04,"Araria, Purnia, Katihar and Kishanganj Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,Lakhisarai,10.07,"Lakhisarai, Munger and Bhagalpur Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,Madhepura,10.06,"Khagaria, Saharsa and Madhepura Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,Madhubani,11.06,"Darbhanga, Madhubani, Supaul, Sitamarhi and Sheohar districts",Bharat Petroleum Corporation Limited,Bharat Petroleum Corporation Limited,
Bihar,Munger,10.07,"Lakhisarai, Munger and Bhagalpur Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,Muzaffarpur,10.08,"Muzaffarpur, Vaishali, Saran and Samastipur Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,Nalanda,9.06,Gaya & Nalanda Districts,Indian Oil-Adani Gas Private Limited,Indian Oil-Adani Gas Private Limited,
Bihar,Nawada,10.09,Nawada and Koderma Districts,Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,Patna,97.01,Patna District,GAIL (India) Limited,GAIL (India) Limited,
Bihar,Purnia,10.04,"Araria, Purnia, Katihar and Kishanganj Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,Rohtas,9.04,"Aurangabad, Kaimur & Rohtas Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,Saharsa,10.06,"Khagaria, Saharsa and Madhepura Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,Samastipur,10.08,"Muzaffarpur, Vaishali, Saran and Samastipur Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,Saran,10.08,"Muzaffarpur, Vaishali, Saran and Samastipur Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,Sheikhpura,10.10,"Sheikhpura, Jamui and Deoghar Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,Sheohar,11.06,"Darbhanga, Madhubani, Supaul, Sitamarhi and Sheohar districts",Bharat Petroleum Corporation Limited,Bharat Petroleum Corporation Limited,
Bihar,Sitamarhi,11.06,"Darbhanga, Madhubani, Supaul, Sitamarhi and Sheohar districts",Bharat Petroleum Corporation Limited,Bharat Petroleum Corporation Limited,
Bihar,Siwan,11.07,"Gopalganj, Siwan, West Champaran, East Champaran and Deoria districts",Bharat Petroleum Corporation Limited,Bharat Petroleum Corporation Limited,
Bihar,Supaul,11.06,"Darbhanga, Madhubani, Supaul, Sitamarhi and Sheohar districts",Bharat Petroleum Corporation Limited,Bharat Petroleum Corporation Limited,
Bihar,Vaishali,10.08,"Muzaffarpur, Vaishali, Saran and Samastipur Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Bihar,West Champaran,11.07,"Gopalganj, Siwan, West Champaran, East Champaran and Deoria districts",Bharat Petroleum Corporation Limited,Bharat Petroleum Corporation Limited,
Chandigarh,Chandigarh,2.01,Chandigarh#,Indian Oil-Adani Gas Private Limited,Indian Oil-Adani Gas Private Limited,
Chhattisgarh,Balod,11.10,"Mungeli, Bemetara, Durg, Balod and Dhamtari districts",Adani Total Gas Limited,Adani Total Gas Limited,
Chhattisgarh,Baloda Bazar,11.08,"Baloda Bazar, Gariyaband and Raipur districts",HCG Raipur Private Limited,Haryana City Gas group,
Chhattisgarh,Balrampur,11A.04,"Koriya, Surajpur, Balrampur and Surguja districts",Bharat Petroleum Corporation Limited,Bharat Petroleum Corporation Limited,
Chhattisgarh,Bametara,11.10,"Mungeli, Bemetara, Durg, Balod and Dhamtari districts",Adani Total Gas Limited,Adani Total Gas Limited,
Chhattisgarh,Bastar,11A.05,"Kondagaon, Bastar, Sukma, Narayanpur, Bijapur and Dantewada districts",GAIL Gas Limited,GAIL Gas Limited,
Chhattisgarh,Bijapur,11A.05,"Kondagaon, Bastar, Sukma, Narayanpur, Bijapur and Dantewada districts",GAIL Gas Limited,GAIL Gas Limited,
Chhattisgarh,Bilaspur,10.29,"Anuppur, Bilaspur and Korba Districts",Adani Total Gas Limited,Adani Total Gas Limited,
Chhattisgarh,Dakshin Bastar Dantewada,11A.05,"Kondagaon, Bastar, Sukma, Narayanpur, Bijapur and Dantewada districts",GAIL Gas Limited,GAIL Gas Limited,
Chhattisgarh,Dhamtari,11.10,"Mungeli, Bemetara, Durg, Balod and Dhamtari districts",Adani Total Gas Limited,Adani Total Gas Limited,
Chhattisgarh,Durg,11.10,"Mungeli, Bemetara, Durg, Balod and Dhamtari districts",Adani Total Gas Limited,Adani Total Gas Limited,
Chhattisgarh,Gariaband,11.08,"Baloda Bazar, Gariyaband and Raipur districts",HCG Raipur Private Limited,Haryana City Gas group,
Chhattisgarh,Janjgir Champa,11.11,"Jashpur, Raigarh, Janjgir-Champa and Mahasamund districts",Adani Total Gas Limited,Adani Total Gas Limited,
Chhattisgarh,Jashpur,11.11,"Jashpur, Raigarh, Janjgir-Champa and Mahasamund districts",Adani Total Gas Limited,Adani Total Gas Limited,
Chhattisgarh,Kabeerdham,11.09,"Kabirdham, Raj Nandgaon and Kanker districts",Adani Total Gas Limited,Adani Total Gas Limited,
Chhattisgarh,Kondagaon,11A.05,"Kondagaon, Bastar, Sukma, Narayanpur, Bijapur and Dantewada districts",GAIL Gas Limited,GAIL Gas Limited,
Chhattisgarh,Korba,10.29,"Anuppur, Bilaspur and Korba Districts",Adani Total Gas Limited,Adani Total Gas Limited,
Chhattisgarh,Koriya,11A.04,"Koriya, Surajpur, Balrampur and Surguja districts",Bharat Petroleum Corporation Limited,Bharat Petroleum Corporation Limited,
Chhattisgarh,Mahasamund,11.11,"Jashpur, Raigarh, Janjgir-Champa and Mahasamund districts",Adani Total Gas Limited,Adani Total Gas Limited,
Chhattisgarh,Mungeli,11.10,"Mungeli, Bemetara, Durg, Balod and Dhamtari districts",Adani Total Gas Limited,Adani Total Gas Limited,
Chhattisgarh,Narayanpur,11A.05,"Kondagaon, Bastar, Sukma, Narayanpur, Bijapur and Dantewada districts",GAIL Gas Limited,GAIL Gas Limited,
Chhattisgarh,Raigarh,11.11,"Jashpur, Raigarh, Janjgir-Champa and Mahasamund districts",Adani Total Gas Limited,Adani Total Gas Limited,
Chhattisgarh,Raipur,11.08,"Baloda Bazar, Gariyaband and Raipur districts",HCG Raipur Private Limited,Haryana City Gas group,
Chhattisgarh,Rajnandgaon,11.09,"Kabirdham, Raj Nandgaon and Kanker districts",Adani Total Gas Limited,Adani Total Gas Limited,
Chhattisgarh,Sukma,11A.05,"Kondagaon, Bastar, Sukma, Narayanpur, Bijapur and Dantewada districts",GAIL Gas Limited,GAIL Gas Limited,
Chhattisgarh,Surajpur,11A.04,"Koriya, Surajpur, Balrampur and Surguja districts",Bharat Petroleum Corporation Limited,Bharat Petroleum Corporation Limited,
Chhattisgarh,Surguja,11A.04,"Koriya, Surajpur, Balrampur and Surguja districts",Bharat Petroleum Corporation Limited,Bharat Petroleum Corporation Limited,
Chhattisgarh,Uttar Bastar Kanker,11.09,"Kabirdham, Raj Nandgaon and Kanker districts",Adani Total Gas Limited,Adani Total Gas Limited,
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,4.05,UT of Dadra & Nagar Haveli,Gujarat Gas Limited,Gujarat Gas Limited,
Dadra and Nagar Haveli and Daman and Diu,Daman,4.06,UT of Daman,Indian Oil-Adani Gas Private Limited,Indian Oil-Adani Gas Private Limited,
Dadra and Nagar Haveli and Daman and Diu,Diu,9.07,Diu and Gir Somnath Districts,IRM Energy Limited,IRM Energy Limited,
Delhi,Delhi,99.01,National Capital Territory of Delhi,Indraprastha Gas Limited,Indraprastha Gas Limited,
Goa,North Goa,6.07,North Goa District,Goa Natural Gas Private Limited,Goa Natural Gas Private Limited,
Goa,South Goa,8.01,South Goa District,Indian Oil-Adani Gas Private Limited,Indian Oil-Adani Gas Private Limited,
Gujarat,Ahmedabad,6.18,Ahmedabad District (EAAA),Gujarat Gas Limited,Gujarat Gas Limited,EAAA
Gujarat,Ahmedabad,98.08,Ahmedabad City and Daskroi Area,Adani Total Gas Limited,Adani Total Gas Limited,
Gujarat,Ahmedabad,-,Ahmedabad City (Only for CNG)**,Hindustan Petroleum Corporation Limited,Hindustan Petroleum Corporation Limited,
Gujarat,Amreli,6.03,Amreli District,Gujarat Gas Limited,Gujarat Gas Limited,
Gujarat,Anand,6.10,Anand District (EAAA),Gujarat Gas Limited,Gujarat Gas Limited,EAAA
Gujarat,Anand,98.11,Anand area including Kanjari & Vadtal Villages (in Kheda District),Charotar Gas Sahakari Mandali Limited,Charotar Gas Sahakari Mandali Limited,
Gujarat,Aravalli,99.11,Gandhinagar Mehsana Sabarkantha,Sabarmati Gas Limited,Sabarmati Gas Limited,district named in GA title (PDF column under-filled)
Gujarat,Banaskantha,6.09,Banaskantha District,IRM Energy Limited,IRM Energy Limited,
Gujarat,Bharuch,6.05,Dahej Vagra Taluka,Gujarat Gas Limited,Gujarat Gas Limited,
Gujarat,Bharuch,98.02,"Surat, Bharuch, Ankleshwar",Gujarat Gas Limited,Gujarat Gas Limited,
Gujarat,Bhavnagar,3.02,Bhavnagar,Gujarat Gas Limited,Gujarat Gas Limited,
Gujarat,Botad,9.09,Barwala & Ranpur Talukas,Adani Total Gas Limited,Adani Total Gas Limited,
Gujarat,Dahod,6.08,Dahod District,Gujarat Gas Limited,Gujarat Gas Limited,
Gujarat,Dang,9.10,"Navsari District (EAAA), Surat District (EAAA), Tapi District (EAAA) & the Dangs District",Adani Total Gas Limited,Adani Total Gas Limited,
Gujarat,Devbhumi Dwarka,3.03,Jamnagar,Gujarat Gas Limited,Gujarat Gas Limited,district named in GA title (PDF column under-filled)
Gujarat,Gandhinagar,99.11,Gandhinagar Mehsana Sabarkantha,Sabarmati Gas Limited,Sabarmati Gas Limited,
Gujarat,Gandhinagar,-,Gandhinagar**,Gujarat Gas Limited,Gujarat Gas Limited,
Gujarat,Gir Somnath,9.07,Diu and Gir Somnath Districts,IRM Energy Limited,IRM Energy Limited,
Gujarat,Jamnagar,3.03,Jamnagar,Gujarat Gas Limited,Gujarat Gas Limited,
Gujarat,Junagadh,9.11,Junagadh District,Torrent Gas Private Limited,Torrent Gas,
Gujarat,Kheda,9.12,Kheda District (EAAA) & Mahisagar District,Adani Total Gas Limited,Adani Total Gas Limited,EAAA
Gujarat,Kheda,98.04,Nadiad,Gujarat Gas Limited,Gujarat Gas Limited,
Gujarat,Kheda,98.11,Anand area including Kanjari & Vadtal Villages (in Kheda District),Charotar Gas Sahakari Mandali Limited,Charotar Gas Sahakari Mandali Limited,in Kheda
Gujarat,Kutch,3.04,Kutch (West),Gujarat Gas Limited,Gujarat Gas Limited,West
Gujarat,Kutch,3.05,Kutch (East)*,Jay Madhok Energy Private Limited led Consortium,Jay Madhok Energy Private Limited led Consortium,East
Gujarat,Mahisagar,9.12,Kheda District (EAAA) & Mahisagar District,Adani Total Gas Limited,Adani Total Gas Limited,
Gujarat,Mehsana,99.11,Gandhinagar Mehsana Sabarkantha,Sabarmati Gas Limited,Sabarmati Gas Limited,
Gujarat,Morbi,98.06,Rajkot,Gujarat Gas Limited,Gujarat Gas Limited,district named in GA title (PDF column under-filled)
Gujarat,Narmada,9.13,Narmada (Rajpipla) District,Gujarat Gas Limited,Gujarat Gas Limited,Rajpipla
Gujarat,Navsari,9.10,"Navsari District (EAAA), Surat District (EAAA), Tapi District (EAAA) & the Dangs District",Adani Total Gas Limited,Adani Total Gas Limited,EAAA
Gujarat,Navsari,98.05,Navsari,Gujarat Gas Limited,Gujarat Gas Limited,
Gujarat,Panchmahal,6.11,Panchmahal District,Gujarat Gas Limited,Gujarat Gas Limited,
Gujarat,Patan,6.04,Patan District,Sabarmati Gas Limited,Sabarmati Gas Limited,
Gujarat,Porbandar,9.14,Porbandar District,Adani Total Gas Limited,Adani Total Gas Limited,
Gujarat,Rajkot,98.06,Rajkot,Gujarat Gas Limited,Gujarat Gas Limited,
Gujarat,Sabarkantha,99.11,Gandhinagar Mehsana Sabarkantha,Sabarmati Gas Limited,Sabarmati Gas Limited,
Gujarat,Surat,9.10,"Navsari District (EAAA), Surat District (EAAA), Tapi District (EAAA) & the Dangs District",Adani Total Gas Limited,Adani Total Gas Limited,EAAA
Gujarat,Surat,98.02,"Surat, Bharuch, Ankleshwar",Gujarat Gas Limited,Gujarat Gas Limited,
Gujarat,Surat,98.09,Hazira,Gujarat Gas Limited,Gujarat Gas Limited,
Gujarat,Surendranagar,9.08,Surendranagar District (EAAA),Adani Total Gas Limited,Adani Total Gas Limited,EAAA
Gujarat,Surendranagar,98.07,Surendranagar,Gujarat Gas Limited,Gujarat Gas Limited,
Gujarat,Tapi,9.10,"Navsari District (EAAA), Surat District (EAAA), Tapi District (EAAA) & the Dangs District",Adani Total Gas Limited,Adani Total Gas Limited,EAAA
Gujarat,Vadodara,99.18,Vadodara,Vadodara Gas Limited,Vadodara Gas Limited,
Gujarat,Vadodara,-,Vadodara**,Adani Total Gas Limited,Adani Total Gas Limited,
